Customer ID,Recency,Frequency,Monetary,Days_Since_Last_Purchase,Churn_Risk,R_score,F_score,M_score,RFM_Score,Segment
12346.0,164,11,372.86,164,High Risk,1,4,2,142,Loyal Customers
12347.0,2,2,1323.32,2,Low Risk,4,2,3,423,Regular Customers
12348.0,73,1,222.16,73,Low Risk,2,1,1,211,At Risk Customers
12349.0,42,3,2671.14,42,Low Risk,3,3,4,334,Loyal Customers
12351.0,10,1,300.93,10,Low Risk,4,1,1,411,Regular Customers
12352.0,10,2,343.8,10,Low Risk,4,2,2,422,Regular Customers
12353.0,43,1,317.76,43,Low Risk,3,1,2,312,Regular Customers
12355.0,202,1,488.21000000000004,202,High Risk,1,1,2,112,At Risk Customers
12356.0,15,3,3560.3,15,Low Risk,4,3,4,434,Loyal Customers
12357.0,23,2,12079.99,23,Low Risk,3,2,4,324,Regular Customers
12358.0,10,3,2719.01,10,Low Risk,4,3,4,434,Loyal Customers
12359.0,60,6,2563.36,60,Low Risk,2,4,4,244,Loyal Customers
12360.0,14,5,1590.83,14,Low Risk,4,3,3,433,Loyal Customers
12361.0,97,3,321.35,97,High Risk,2,3,2,232,Loyal Customers
12362.0,373,1,130.0,373,High Risk,1,1,1,111,At Risk Customers
12366.0,268,1,500.24,268,High Risk,1,1,2,112,At Risk Customers
12368.0,263,1,917.6999999999999,263,High Risk,1,1,3,113,At Risk Customers
12369.0,48,3,1791.15,48,Low Risk,3,3,4,334,Loyal Customers
12370.0,259,3,774.62,259,High Risk,1,3,3,133,Loyal Customers
12371.0,44,3,2179.42,44,Low Risk,3,3,4,334,Loyal Customers
12373.0,259,2,763.0500000000001,259,High Risk,1,2,3,123,At Risk Customers
12374.0,56,3,2246.29,56,Low Risk,2,3,4,234,Loyal Customers
12376.0,24,2,503.15,24,Low Risk,3,2,2,322,Regular Customers
12377.0,16,2,1798.2,16,Low Risk,4,2,4,424,Regular Customers
12378.0,197,1,1407.7,197,High Risk,1,1,3,113,At Risk Customers
12379.0,57,2,767.98,57,Low Risk,2,2,3,223,At Risk Customers
12380.0,100,7,6951.49,100,High Risk,2,4,4,244,Loyal Customers
12385.0,14,1,1938.4,14,Low Risk,4,1,4,414,Regular Customers
12386.0,1,1,258.9,1,Low Risk,4,1,1,411,Regular Customers
12387.0,50,1,143.94,50,Low Risk,3,1,1,311,Regular Customers
12388.0,80,2,1120.45,80,Low Risk,2,2,3,223,At Risk Customers
12389.0,37,3,1433.33,37,Low Risk,3,3,3,333,Loyal Customers
12391.0,99,5,2285.18,99,High Risk,2,3,4,234,Loyal Customers
12392.0,226,1,234.75000000000003,226,High Risk,1,1,1,111,At Risk Customers
12393.0,17,2,816.85,17,Low Risk,4,2,3,423,Regular Customers
12395.0,6,4,2048.64,6,Low Risk,4,3,4,434,Loyal Customers
12396.0,309,1,931.43,309,High Risk,1,1,3,113,At Risk Customers
12399.0,20,3,853.65,20,Low Risk,3,3,3,333,Loyal Customers
12400.0,49,1,205.25,49,Low Risk,3,1,1,311,Regular Customers
12402.0,27,5,1031.3,27,Low Risk,3,3,3,333,Loyal Customers
12403.0,156,1,591.6600000000001,156,High Risk,1,1,2,112,At Risk Customers
12404.0,317,1,63.24,317,High Risk,1,1,1,111,At Risk Customers
12406.0,34,3,2975.06,34,Low Risk,3,3,4,334,Loyal Customers
12408.0,20,3,1452.22,20,Low Risk,3,3,3,333,Loyal Customers
12409.0,55,4,12346.619999999999,55,Low Risk,2,3,4,234,Loyal Customers
12410.0,137,1,320.38,137,High Risk,1,1,2,112,At Risk Customers
